Country,Year,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4
Afghanistan,1970,2670,1820,12800
Afghanistan,1971,2630,1850,12900
Afghanistan,1972,2180,1810,11900
Afghanistan,1973,2310,1830,11600
Afghanistan,1974,2520,2190,12800
Afghanistan,1975,2720,1930,12800
Afghanistan,1976,2800,1870,12800
Afghanistan,1977,2780,1990,13000
Afghanistan,1978,2780,3690,12500
Afghanistan,1979,2700,2990,12200
Afghanistan,1980,2750,2470,12500
Afghanistan,1981,2710,2670,12000
Afghanistan,1982,2780,2580,11900
Afghanistan,1983,2630,2800,11300
Afghanistan,1984,2520,2730,10300
Afghanistan,1985,2330,2660,9570
Afghanistan,1986,1990,2470,8450
Afghanistan,1987,2140,2460,8320
Afghanistan,1988,2210,2270,8480
Afghanistan,1989,2200,2110,7630
Afghanistan,1990,2170,2100,7750
Afghanistan,1991,2220,2050,7890
Afghanistan,1992,2180,1780,8010
Afghanistan,1993,2230,1780,8200
Afghanistan,1994,2030,2020,8520
Afghanistan,1995,2170,2340,8940
Afghanistan,1996,2390,2340,9990
Afghanistan,1997,2620,2220,10800
Afghanistan,1998,2810,2170,11300
Afghanistan,1999,3050,2230,12100
Afghanistan,2000,2690,2490,10900
Afghanistan,2001,2450,2440,9600
Afghanistan,2002,2780,2470,11300
Afghanistan,2003,2880,2670,12000
Afghanistan,2004,2870,2940,11800
Afghanistan,2005,2980,3120,12200
Afghanistan,2006,2820,3330,12500
Afghanistan,2007,2790,2990,12800
Afghanistan,2008,3060,4050,14000
Afghanistan,2009,3250,5150,14400
Afghanistan,2010,3610,6410,16100
Afghanistan,2011,3650,7040,16200
Afghanistan,2012,3610,7580,15800
Albania,1970,650,2090,4480
Albania,1971,658,2080,4470
Albania,1972,662,2110,5080
Albania,1973,690,2180,4680
Albania,1974,704,2220,4900
Albania,1975,703,2290,5070
Albania,1976,804,2400,5450
Albania,1977,863,2470,5760
Albania,1978,1030,2660,6500
Albania,1979,1060,2760,7620
Albania,1980,1060,2830,7720
Albania,1981,1090,2840,6730
Albania,1982,1090,2880,6950
Albania,1983,1120,2950,7450
Albania,1984,1150,3000,8060
Albania,1985,1130,2960,7690
Albania,1986,1160,3080,7770
Albania,1987,1140,3250,8040
Albania,1988,1200,3390,7980
Albania,1989,1290,3440,7850
Albania,1990,1180,3350,6620
Albania,1991,846,3170,4400
Albania,1992,767,3010,2400
Albania,1993,815,3100,2250
Albania,1994,940,3860,2390
Albania,1995,883,3590,2110
Albania,1996,813,3420,2100
Albania,1997,766,3240,1630
Albania,1998,830,3130,1860
Albania,1999,836,3170,3100
Albania,2000,844,3200,3200
Albania,2001,845,3170,3420
Albania,2002,918,3170,3960
Albania,2003,860,3180,4260
Albania,2004,930,3130,4440
Albania,2005,847,3120,4200
Albania,2006,879,3090,4170
Albania,2007,826,2970,4280
Albania,2008,786,2850,4230
Albania,2009,791,2750,3810
Albania,2010,779,2770,4140
Albania,2011,784,2780,4390
Albania,2012,787,2810,4120
Algeria,1970,2140,18900,46500
Algeria,1971,2450,22300,60100
Algeria,1972,2490,34400,106000
Algeria,1973,2320,46500,151000
Algeria,1974,2040,39300,117000
Algeria,1975,2500,35700,97000
Algeria,1976,2620,46300,131000
Algeria,1977,2790,51300,144000
Algeria,1978,2530,56600,149000
Algeria,1979,2820,56500,128000
Algeria,1980,3150,56600,123000
Algeria,1981,2860,53200,91000
Algeria,1982,3280,54900,71500
Algeria,1983,3400,57500,70000
Algeria,1984,3510,60500,85100
Algeria,1985,3610,69800,118000
Algeria,1986,3680,72600,107000
Algeria,1987,3670,69800,95700
Algeria,1988,3460,70500,90500
Algeria,1989,3480,71000,96100
Algeria,1990,3610,68000,79400
Algeria,1991,3570,72100,80400
Algeria,1992,3690,80000,112000
Algeria,1993,3980,80300,107000
Algeria,1994,3710,77700,102000
Algeria,1995,3310,80300,106000
Algeria,1996,3250,80100,102000
Algeria,1997,3440,78400,89200
Algeria,1998,3810,78400,81700
Algeria,1999,4090,81700,79800
Algeria,2000,4180,84500,79600
Algeria,2001,4410,82800,71500
Algeria,2002,4370,86400,68700
Algeria,2003,4460,93500,77100
Algeria,2004,4690,92600,73200
Algeria,2005,4700,98400,75100
Algeria,2006,4250,104000,78400
Algeria,2007,5300,106000,74400
Algeria,2008,5290,111000,77200
Algeria,2009,5610,115000,70700
Algeria,2010,5850,117000,71900
Algeria,2011,5990,122000,70000
Algeria,2012,6240,127000,71000
Angola,1970,1720,8950,35200
Angola,1971,1810,8540,33500
Angola,1972,1870,10400,37900
Angola,1973,1900,11400,42600
Angola,1974,1920,11800,44100
Angola,1975,1950,10900,41600
Angola,1976,1850,7320,27900
Angola,1977,1890,12100,49300
Angola,1978,1960,14200,53800
Angola,1979,2020,14200,54000
Angola,1980,2070,14300,54500
Angola,1981,2100,13300,50700
Angola,1982,2130,12800,50400
Angola,1983,2170,13300,52100
Angola,1984,2200,13400,53200
Angola,1985,2250,14100,53900
Angola,1986,2280,14300,54700
Angola,1987,2250,14600,55800
Angola,1988,2210,15000,56200
Angola,1989,2180,15200,56600
Angola,1990,2150,11300,38400
Angola,1991,2220,11800,40600
Angola,1992,2300,12200,42800
Angola,1993,2310,12200,41600
Angola,1994,2340,11600,37200
Angola,1995,2360,13000,41600
Angola,1996,2540,15800,47600
Angola,1997,2690,16500,46500
Angola,1998,2890,17100,46800
Angola,1999,2920,18100,43100
Angola,2000,3020,16600,36700
Angola,2001,3080,16300,35300
Angola,2002,3110,16000,34400
Angola,2003,3170,17400,34300
Angola,2004,2970,17500,33700
Angola,2005,3290,16200,34600
Angola,2006,3540,16900,33000
Angola,2007,3670,17400,32300
Angola,2008,3930,19700,33500
Angola,2009,3800,21500,32600
Angola,2010,3940,24400,35800
Angola,2011,4060,24400,36000
Angola,2012,4110,24700,36100
Anguilla,1970,0.11,2.7,2.17
Anguilla,1971,0.11,2.74,2.17
Anguilla,1972,0.11,2.73,2.26
Anguilla,1973,0.11,2.78,2.11
Anguilla,1974,0.11,2.73,2.35
Anguilla,1975,0.12,2.75,2.58
Anguilla,1976,0.11,2.58,2.43
Anguilla,1977,0.11,2.59,2.54
Anguilla,1978,0.13,2.8,2.9
Anguilla,1979,0.13,2.84,3.21
Anguilla,1980,0.16,2.82,4.41
Anguilla,1981,0.22,2.92,6.64
Anguilla,1982,0.23,2.97,7.02
Anguilla,1983,0.19,2.5,6.09
Anguilla,1984,0.18,2.25,5.8
Anguilla,1985,0.13,2.44,3.67
Anguilla,1986,0.12,2.51,3.15
Anguilla,1987,0.17,2.39,6.13
Anguilla,1988,0.15,2.31,5.8
Anguilla,1989,0.15,2.36,6.15
Anguilla,1990,0.16,2.42,6.11
Anguilla,1991,0.19,2.49,7.58
Anguilla,1992,0.19,2.46,7.9
Anguilla,1993,0.21,2.5,9.95
Anguilla,1994,0.29,2.74,13.1
Anguilla,1995,0.38,2.81,16.4
Anguilla,1996,0.37,2.86,16.2
Anguilla,1997,0.32,2.9,13.6
Anguilla,1998,0.27,2.93,12.4
Anguilla,1999,0.25,2.94,11.8
Anguilla,2000,0.3,3.02,15.5
Anguilla,2001,0.31,2.94,15.9
Anguilla,2002,0.21,3.14,10.9
Anguilla,2003,0.25,3.26,14.1
Anguilla,2004,0.24,4.21,13.5
Anguilla,2005,0.25,4.35,13.7
Anguilla,2006,0.24,4.48,12.8
Anguilla,2007,0.24,4.51,12.4
Anguilla,2008,0.29,4.47,15.3
Anguilla,2009,0.39,4.61,20.2
Anguilla,2010,0.45,4.67,24
Anguilla,2011,0.48,4.72,26
Anguilla,2012,0.48,4.76,26
Antigua and Barbuda,1970,9.48,32,149
Antigua and Barbuda,1971,10.1,34.8,157
Antigua and Barbuda,1972,9.7,33.6,198
Antigua and Barbuda,1973,10.1,34.9,218
Antigua and Barbuda,1974,9.75,34,182
Antigua and Barbuda,1975,10.1,34.1,227
Antigua and Barbuda,1976,10.5,33.8,189
Antigua and Barbuda,1977,11,35.5,212
Antigua and Barbuda,1978,12.3,37.7,201
Antigua and Barbuda,1979,13.6,42.6,191
Antigua and Barbuda,1980,15,46.3,189
Antigua and Barbuda,1981,14.3,46.1,195
Antigua and Barbuda,1982,16.2,50.6,241
Antigua and Barbuda,1983,14.4,46.9,162
Antigua and Barbuda,1984,15.5,47.5,193
Antigua and Barbuda,1985,16,48.8,172
Antigua and Barbuda,1986,15,48.3,190
Antigua and Barbuda,1987,15.2,48.3,211
Antigua and Barbuda,1988,15.9,48.4,243
Antigua and Barbuda,1989,14.7,45.1,241
Antigua and Barbuda,1990,14.7,44.9,245
Antigua and Barbuda,1991,14.9,44.9,248
Antigua and Barbuda,1992,15.1,45,246
Antigua and Barbuda,1993,15,45.3,232
Antigua and Barbuda,1994,15.8,45.9,250
Antigua and Barbuda,1995,16.4,47.1,259
Antigua and Barbuda,1996,17.1,47,264
Antigua and Barbuda,1997,17.4,46.5,256
Antigua and Barbuda,1998,17.9,45.6,252
Antigua and Barbuda,1999,18.5,45.6,257
Antigua and Barbuda,2000,18.7,48.4,279
Antigua and Barbuda,2001,19.2,49,294
Antigua and Barbuda,2002,19.2,49.2,286
Antigua and Barbuda,2003,20.1,49.5,298
Antigua and Barbuda,2004,20.8,49.9,311
Antigua and Barbuda,2005,20.7,50.4,306
Antigua and Barbuda,2006,20.7,50.7,305
Antigua and Barbuda,2007,21.1,51.1,322
Antigua and Barbuda,2008,21.4,51.3,323
Antigua and Barbuda,2009,21.7,50.7,332
Antigua and Barbuda,2010,22.2,49.8,353
Antigua and Barbuda,2011,23.1,53.1,372
Antigua and Barbuda,2012,23.3,53.4,374
Argentina,1970,26800,108000,91200
Argentina,1971,27300,111000,91700
Argentina,1972,28300,114000,92700
Argentina,1973,29400,119000,97100
Argentina,1974,29300,119000,96900
Argentina,1975,29800,125000,95600
Argentina,1976,30700,134000,102000
Argentina,1977,31900,139000,105000
Argentina,1978,31100,139000,107000
Argentina,1979,31300,139000,113000
Argentina,1980,30600,136000,110000
Argentina,1981,30300,129000,107000
Argentina,1982,30000,129000,105000
Argentina,1983,30300,130000,107000
Argentina,1984,31800,141000,107000
Argentina,1985,31200,135000,100000
Argentina,1986,30900,128000,110000
Argentina,1987,30300,127000,115000
Argentina,1988,32200,137000,121000
Argentina,1989,31100,141000,119000
Argentina,1990,32900,137000,113000
Argentina,1991,32700,130000,116000
Argentina,1992,33400,132000,119000
Argentina,1993,32800,137000,122000
Argentina,1994,34200,141000,131000
Argentina,1995,34100,128000,128000
Argentina,1996,35100,134000,144000
Argentina,1997,34500,123000,145000
Argentina,1998,36200,116000,147000
Argentina,1999,37200,118000,150000
Argentina,2000,37500,118000,148000
Argentina,2001,40000,118000,139000
Argentina,2002,41800,122000,131000
Argentina,2003,45700,129000,144000
Argentina,2004,46100,131000,161000
Argentina,2005,47600,131000,165000
Argentina,2006,50000,133000,176000
Argentina,2007,52400,132000,183000
Argentina,2008,51000,130000,196000
Argentina,2009,46100,124000,186000
Argentina,2010,50700,116000,194000
Argentina,2011,49000,112000,199000
Argentina,2012,47300,114000,197000
Armenia,1970,516,1640,10900
Armenia,1971,544,1700,10900
Armenia,1972,568,1750,11700
Armenia,1973,596,1800,12800
Armenia,1974,625,1850,13900
Armenia,1975,660,1890,15200
Armenia,1976,662,1910,15700
Armenia,1977,680,1910,16300
Armenia,1978,695,1940,16900
Armenia,1979,707,1960,17600
Armenia,1980,732,1970,18700
Armenia,1981,735,1950,19100
Armenia,1982,745,1950,19600
Armenia,1983,773,1970,19700
Armenia,1984,785,2000,19800
Armenia,1985,801,2020,20100
Armenia,1986,806,2020,20200
Armenia,1987,817,2040,20400
Armenia,1988,803,2240,20500
Armenia,1989,777,2290,20100
Armenia,1990,771,2260,20700
Armenia,1991,688,2090,21600
Armenia,1992,591,1970,11000
Armenia,1993,508,1720,5180
Armenia,1994,434,1730,2880
Armenia,1995,422,1680,3620
Armenia,1996,432,1700,2680
Armenia,1997,423,1690,3430
Armenia,1998,416,1620,3560
Armenia,1999,399,1640,3200
Armenia,2000,410,1640,3660
Armenia,2001,416,1650,3730
Armenia,2002,426,1720,3200
Armenia,2003,419,1800,3570
Armenia,2004,532,1880,3830
Armenia,2005,534,1930,4540
Armenia,2006,576,1980,4580
Armenia,2007,729,2010,5290
Armenia,2008,718,2030,5790
Armenia,2009,720,1930,4660
Armenia,2010,709,1910,4230
Armenia,2011,722,1920,4830
Armenia,2012,701,2000,4820
Australia,1970,36700,105000,161000
Australia,1971,38100,108000,162000
Australia,1972,38500,113000,168000
Australia,1973,36800,112000,178000
Australia,1974,39000,115000,187000
Australia,1975,40500,116000,194000
Australia,1976,40800,116000,197000
Australia,1977,37900,112000,210000
Australia,1978,37000,107000,206000
Australia,1979,36800,106000,212000
Australia,1980,36300,104000,222000
Australia,1981,35900,105000,223000
Australia,1982,35600,106000,230000
Australia,1983,34900,110000,218000
Australia,1984,35900,111000,224000
Australia,1985,36700,112000,238000
Australia,1986,37400,114000,239000
Australia,1987,36800,114000,250000
Australia,1988,38200,114000,259000
Australia,1989,40000,121000,274000
Australia,1990,42700,124000,278000
Australia,1991,42200,125000,280000
Australia,1992,41400,123000,283000
Australia,1993,41800,121000,287000
Australia,1994,41900,120000,293000
Australia,1995,41500,119000,303000
Australia,1996,44500,120000,313000
Australia,1997,44500,122000,323000
Australia,1998,46000,122000,343000
Australia,1999,46700,122000,352000
Australia,2000,47700,126000,358000
Australia,2001,47800,128000,371000
Australia,2002,45900,127000,382000
Australia,2003,45900,123000,391000
Australia,2004,47900,125000,407000
Australia,2005,48800,127000,412000
Australia,2006,46000,125000,408000
Australia,2007,45400,125000,428000
Australia,2008,45200,123000,431000
Australia,2009,44800,122000,437000
Australia,2010,43900,121000,421000
Australia,2011,46600,123000,429000
Australia,2012,48100,125000,429000
Austria,1970,5350,11900,54100
Austria,1971,5580,12100,56300
Austria,1972,5650,12100,58600
Austria,1973,5920,12200,61900
Austria,1974,6040,12300,59500
Austria,1975,5900,12300,57200
Austria,1976,6070,12300,62400
Austria,1977,6090,12400,59700
Austria,1978,6140,12800,61800
Austria,1979,6220,13000,64200
Austria,1980,6210,13100,62300
Austria,1981,6030,13000,59100
Austria,1982,5780,13200,56900
Austria,1983,5690,13200,56900
Austria,1984,5740,13400,58800
Austria,1985,5440,13500,60200
Austria,1986,5220,13500,59000
Austria,1987,4980,13300,59600
Austria,1988,5180,13400,58200
Austria,1989,4780,13100,58200
Austria,1990,4760,13000,62800
Austria,1991,4780,13000,66500
Austria,1992,4620,12800,61400
Austria,1993,4660,12800,61500
Austria,1994,4560,12300,62000
Austria,1995,4550,12100,65100
Austria,1996,4640,11900,69000
Austria,1997,4570,11600,68600
Austria,1998,4610,11500,69200
Austria,1999,4570,11400,67200
Austria,2000,4480,11300,67900
Austria,2001,4530,11100,72600
Austria,2002,4430,11200,74500
Austria,2003,4460,11100,79800
Austria,2004,3890,10800,80800
Austria,2005,3850,10700,82000
Austria,2006,3800,10600,79700
Austria,2007,3740,10500,77500
Austria,2008,3800,10600,78200
Austria,2009,3700,10300,70300
Austria,2010,3840,10500,76900
Austria,2011,3840,10300,76300
Austria,2012,3770,10100,75400
Azerbaijan,1970,1810,18500,35000
Azerbaijan,1971,1900,19100,35100
Azerbaijan,1972,1960,18800,37400
Azerbaijan,1973,2080,21300,40900
Azerbaijan,1974,2160,22900,44200
Azerbaijan,1975,2280,24900,49000
Azerbaijan,1976,2280,27000,51500
Azerbaijan,1977,2350,28700,54100
Azerbaijan,1978,2380,30500,56900
Azerbaijan,1979,2400,20500,56900
Azerbaijan,1980,2470,20800,60000
Azerbaijan,1981,2480,20800,61800
Azerbaijan,1982,2510,21000,63200
Azerbaijan,1983,2620,21100,65000
Azerbaijan,1984,2680,21200,66600
Azerbaijan,1985,2740,22300,68000
Azerbaijan,1986,2800,21000,70200
Azerbaijan,1987,2850,20400,72500
Azerbaijan,1988,2830,32500,76400
Azerbaijan,1989,2760,32100,76600
Azerbaijan,1990,2570,24800,56800
Azerbaijan,1991,2380,23200,55300
Azerbaijan,1992,2200,18600,44100
Azerbaijan,1993,1910,8980,36900
Azerbaijan,1994,1790,8490,32900
Azerbaijan,1995,1720,8460,32100
Azerbaijan,1996,1650,8410,26900
Azerbaijan,1997,1710,8640,25600
Azerbaijan,1998,1710,9050,25600
Azerbaijan,1999,1800,9820,26500
Azerbaijan,2000,1840,9890,28100
Azerbaijan,2001,1970,10200,26700
Azerbaijan,2002,2080,10200,26500
Azerbaijan,2003,2220,10600,29000
Azerbaijan,2004,2240,10800,28700
Azerbaijan,2005,2340,11800,30500
Azerbaijan,2006,2310,12900,30900
Azerbaijan,2007,2370,14800,28100
Azerbaijan,2008,2460,18400,31000
Azerbaijan,2009,2530,17900,25900
Azerbaijan,2010,2510,17900,24800
Azerbaijan,2011,2580,18100,28000
Azerbaijan,2012,2630,18600,29400
Bahamas,1970,37.8,107,2770
Bahamas,1971,37.9,116,2820
Bahamas,1972,40.1,121,3320
Bahamas,1973,44.1,130,3670
Bahamas,1974,36.7,122,2890
Bahamas,1975,43.1,125,3530
Bahamas,1976,43.7,121,2980
Bahamas,1977,46.1,137,3290
Bahamas,1978,48.6,132,3530
Bahamas,1979,45.9,136,3310
Bahamas,1980,46.6,142,3120
Bahamas,1981,50.2,149,3180
Bahamas,1982,51,154,2620
Bahamas,1983,41.3,143,2040
Bahamas,1984,45.7,144,2120
Bahamas,1985,40.8,133,1890
Bahamas,1986,40.7,133,1990
Bahamas,1987,43.6,135,2170
Bahamas,1988,47.6,139,2300
Bahamas,1989,50.2,144,2520
Bahamas,1990,51.1,147,2580
Bahamas,1991,50.9,147,2510
Bahamas,1992,50.4,146,2200
Bahamas,1993,48.5,147,2100
Bahamas,1994,51.6,151,2270
Bahamas,1995,61.8,156,2600
Bahamas,1996,70.4,164,2930
Bahamas,1997,69,164,2830
Bahamas,1998,78.6,165,2700
Bahamas,1999,74.8,165,2530
Bahamas,2000,67.4,171,2370
Bahamas,2001,70,172,2470
Bahamas,2002,69.7,174,2480
Bahamas,2003,76.3,180,2800
Bahamas,2004,78.1,184,2830
Bahamas,2005,79.9,187,2780
Bahamas,2006,82.5,194,2860
Bahamas,2007,88.8,196,3070
Bahamas,2008,92.1,197,3150
Bahamas,2009,94,195,3190
Bahamas,2010,101,191,3450
Bahamas,2011,110,212,3740
Bahamas,2012,110,215,3750
Bahrain,1970,23.9,977,2960
Bahrain,1971,24.5,983,2980
Bahrain,1972,27,1010,3570
Bahrain,1973,30.8,1180,4510
Bahrain,1974,33.9,1320,5320
Bahrain,1975,38.1,1260,5490
Bahrain,1976,42.7,1330,5960
Bahrain,1977,48.2,1490,6570
Bahrain,1978,51.8,1530,6960
Bahrain,1979,54.2,1630,7430
Bahrain,1980,55.8,1640,7530
Bahrain,1981,61.9,1750,8060
Bahrain,1982,64.3,1690,8500
Bahrain,1983,69.6,1700,8830
Bahrain,1984,71,1790,9090
Bahrain,1985,76,2050,10800
Bahrain,1986,89.9,2030,12700
Bahrain,1987,84,2070,12300
Bahrain,1988,88.5,2170,12600
Bahrain,1989,91.8,2250,12500
Bahrain,1990,95.2,2320,12900
Bahrain,1991,95.3,2120,12700
Bahrain,1992,101,2320,13200
Bahrain,1993,101,2470,13100
Bahrain,1994,103,2480,13200
Bahrain,1995,104,2500,13300
Bahrain,1996,107,2590,13900
Bahrain,1997,109,2700,14700
Bahrain,1998,122,2820,15500
Bahrain,1999,116,2880,15700
Bahrain,2000,120,2920,15900
Bahrain,2001,123,3020,16600
Bahrain,2002,133,3150,17500
Bahrain,2003,137,3220,18000
Bahrain,2004,132,3850,15200
Bahrain,2005,139,4240,16500
Bahrain,2006,150,4440,16300
Bahrain,2007,155,4620,19100
Bahrain,2008,149,4910,18400
Bahrain,2009,148,4970,18900
Bahrain,2010,150,5160,19100
Bahrain,2011,151,5190,19800
Bahrain,2012,153,5190,19800
